Category: All categories

Day,Coca-Cola: (Worldwide)
2024-06-26,76
2024-06-27,74
2024-06-28,80
2024-06-29,68
2024-06-30,70
2024-07-01,75
2024-07-02,80
2024-07-03,75
2024-07-04,71
2024-07-05,68
2024-07-06,70
2024-07-07,70
2024-07-08,72
2024-07-09,67
2024-07-10,79
2024-07-11,81
2024-07-12,73
2024-07-13,75
2024-07-14,68
2024-07-15,68
2024-07-16,75
2024-07-17,81
2024-07-18,73
2024-07-19,75
2024-07-20,73
2024-07-21,68
2024-07-22,67
2024-07-23,78
2024-07-24,80
2024-07-25,72
2024-07-26,71
2024-07-27,72
2024-07-28,71
2024-07-29,68
2024-07-30,76
2024-07-31,77
2024-08-01,68
2024-08-02,77
2024-08-03,74
2024-08-04,71
2024-08-05,77
2024-08-06,75
2024-08-07,77
2024-08-08,74
2024-08-09,78
2024-08-10,68
2024-08-11,72
2024-08-12,77
2024-08-13,81
2024-08-14,79
2024-08-15,90
2024-08-16,87
2024-08-17,76
2024-08-18,81
2024-08-19,88
2024-08-20,90
2024-08-21,82
2024-08-22,90
2024-08-23,86
2024-08-24,75
2024-08-25,77
2024-08-26,83
2024-08-27,82
2024-08-28,82
2024-08-29,90
2024-08-30,77
2024-08-31,76
2024-09-01,75
2024-09-02,81
2024-09-03,80
2024-09-04,81
2024-09-05,80
2024-09-06,82
2024-09-07,79
2024-09-08,89
2024-09-09,80
2024-09-10,86
2024-09-11,90
2024-09-12,92
2024-09-13,100
2024-09-14,95
2024-09-15,89
2024-09-16,88
2024-09-17,87
2024-09-18,92
2024-09-19,88
2024-09-20,90
2024-09-21,85
2024-09-22,86
2024-09-23,88
2024-09-24,92
2024-09-25,99
2024-09-26,91
