Category: All categories

Day,Coca Cola: (Worldwide)
2024-06-26,72
2024-06-27,73
2024-06-28,71
2024-06-29,67
2024-06-30,62
2024-07-01,68
2024-07-02,69
2024-07-03,73
2024-07-04,71
2024-07-05,71
2024-07-06,68
2024-07-07,64
2024-07-08,70
2024-07-09,66
2024-07-10,70
2024-07-11,81
2024-07-12,70
2024-07-13,69
2024-07-14,65
2024-07-15,68
2024-07-16,75
2024-07-17,75
2024-07-18,71
2024-07-19,73
2024-07-20,70
2024-07-21,69
2024-07-22,72
2024-07-23,78
2024-07-24,75
2024-07-25,72
2024-07-26,64
2024-07-27,76
2024-07-28,66
2024-07-29,71
2024-07-30,71
2024-07-31,73
2024-08-01,71
2024-08-02,71
2024-08-03,72
2024-08-04,67
2024-08-05,73
2024-08-06,75
2024-08-07,76
2024-08-08,73
2024-08-09,69
2024-08-10,63
2024-08-11,65
2024-08-12,76
2024-08-13,78
2024-08-14,82
2024-08-15,79
2024-08-16,75
2024-08-17,70
2024-08-18,68
2024-08-19,71
2024-08-20,85
2024-08-21,77
2024-08-22,83
2024-08-23,78
2024-08-24,73
2024-08-25,69
2024-08-26,79
2024-08-27,80
2024-08-28,80
2024-08-29,81
2024-08-30,74
2024-08-31,70
2024-09-01,72
2024-09-02,72
2024-09-03,80
2024-09-04,83
2024-09-05,82
2024-09-06,83
2024-09-07,76
2024-09-08,64
2024-09-09,83
2024-09-10,83
2024-09-11,96
2024-09-12,100
2024-09-13,97
2024-09-14,91
2024-09-15,84
2024-09-16,82
2024-09-17,86
2024-09-18,93
2024-09-19,89
2024-09-20,89
2024-09-21,82
2024-09-22,84
2024-09-23,85
2024-09-24,85
2024-09-25,89
2024-09-26,82
