Category: All categories

Day,District: (Worldwide)
2024-06-26,79
2024-06-27,71
2024-06-28,67
2024-06-29,55
2024-06-30,51
2024-07-01,69
2024-07-02,65
2024-07-03,68
2024-07-04,57
2024-07-05,62
2024-07-06,55
2024-07-07,54
2024-07-08,78
2024-07-09,76
2024-07-10,73
2024-07-11,73
2024-07-12,68
2024-07-13,59
2024-07-14,51
2024-07-15,78
2024-07-16,79
2024-07-17,74
2024-07-18,77
2024-07-19,78
2024-07-20,65
2024-07-21,54
2024-07-22,81
2024-07-23,81
2024-07-24,82
2024-07-25,77
2024-07-26,72
2024-07-27,63
2024-07-28,61
2024-07-29,80
2024-07-30,81
2024-07-31,84
2024-08-01,83
2024-08-02,78
2024-08-03,64
2024-08-04,58
2024-08-05,85
2024-08-06,89
2024-08-07,88
2024-08-08,83
2024-08-09,78
2024-08-10,61
2024-08-11,61
2024-08-12,95
2024-08-13,92
2024-08-14,91
2024-08-15,81
2024-08-16,84
2024-08-17,63
2024-08-18,58
2024-08-19,84
2024-08-20,89
2024-08-21,92
2024-08-22,84
2024-08-23,82
2024-08-24,63
2024-08-25,61
2024-08-26,82
2024-08-27,89
2024-08-28,100
2024-08-29,87
2024-08-30,79
2024-08-31,63
2024-09-01,52
2024-09-02,64
2024-09-03,91
2024-09-04,87
2024-09-05,83
2024-09-06,82
2024-09-07,64
2024-09-08,65
2024-09-09,89
2024-09-10,84
2024-09-11,80
2024-09-12,81
2024-09-13,80
2024-09-14,63
2024-09-15,60
2024-09-16,81
2024-09-17,78
2024-09-18,82
2024-09-19,81
2024-09-20,81
2024-09-21,66
2024-09-22,67
2024-09-23,83
2024-09-24,80
2024-09-25,83
2024-09-26,82
