Category: All categories

Day,Kathmandu: (Worldwide)
2024-06-26,61
2024-06-27,56
2024-06-28,63
2024-06-29,61
2024-06-30,68
2024-07-01,60
2024-07-02,61
2024-07-03,60
2024-07-04,62
2024-07-05,59
2024-07-06,73
2024-07-07,72
2024-07-08,62
2024-07-09,59
2024-07-10,58
2024-07-11,59
2024-07-12,62
2024-07-13,58
2024-07-14,61
2024-07-15,54
2024-07-16,57
2024-07-17,59
2024-07-18,59
2024-07-19,65
2024-07-20,67
2024-07-21,69
2024-07-22,64
2024-07-23,60
2024-07-24,100
2024-07-25,69
2024-07-26,58
2024-07-27,63
2024-07-28,67
2024-07-29,57
2024-07-30,52
2024-07-31,55
2024-08-01,55
2024-08-02,59
2024-08-03,58
2024-08-04,61
2024-08-05,55
2024-08-06,59
2024-08-07,55
2024-08-08,55
2024-08-09,54
2024-08-10,56
2024-08-11,61
2024-08-12,58
2024-08-13,56
2024-08-14,54
2024-08-15,55
2024-08-16,53
2024-08-17,54
2024-08-18,60
2024-08-19,48
2024-08-20,56
2024-08-21,57
2024-08-22,57
2024-08-23,55
2024-08-24,92
2024-08-25,58
2024-08-26,53
2024-08-27,50
2024-08-28,51
2024-08-29,56
2024-08-30,54
2024-08-31,60
2024-09-01,67
2024-09-02,57
2024-09-03,51
2024-09-04,55
2024-09-05,51
2024-09-06,50
2024-09-07,53
2024-09-08,64
2024-09-09,57
2024-09-10,50
2024-09-11,54
2024-09-12,55
2024-09-13,55
2024-09-14,57
2024-09-15,61
2024-09-16,54
2024-09-17,51
2024-09-18,52
2024-09-19,53
2024-09-20,54
2024-09-21,56
2024-09-22,62
2024-09-23,59
2024-09-24,54
2024-09-25,57
2024-09-26,61
