Category: All categories

Day,Ration card: (Worldwide)
2024-06-26,63
2024-06-27,59
2024-06-28,67
2024-06-29,66
2024-06-30,60
2024-07-01,57
2024-07-02,67
2024-07-03,73
2024-07-04,74
2024-07-05,70
2024-07-06,75
2024-07-07,70
2024-07-08,69
2024-07-09,70
2024-07-10,66
2024-07-11,65
2024-07-12,66
2024-07-13,68
2024-07-14,60
2024-07-15,63
2024-07-16,65
2024-07-17,55
2024-07-18,64
2024-07-19,67
2024-07-20,74
2024-07-21,59
2024-07-22,59
2024-07-23,65
2024-07-24,67
2024-07-25,64
2024-07-26,63
2024-07-27,72
2024-07-28,64
2024-07-29,72
2024-07-30,67
2024-07-31,64
2024-08-01,63
2024-08-02,66
2024-08-03,84
2024-08-04,66
2024-08-05,70
2024-08-06,70
2024-08-07,75
2024-08-08,78
2024-08-09,65
2024-08-10,78
2024-08-11,68
2024-08-12,73
2024-08-13,76
2024-08-14,72
2024-08-15,55
2024-08-16,75
2024-08-17,78
2024-08-18,64
2024-08-19,51
2024-08-20,72
2024-08-21,70
2024-08-22,71
2024-08-23,74
2024-08-24,81
2024-08-25,71
2024-08-26,65
2024-08-27,73
2024-08-28,82
2024-08-29,82
2024-08-30,80
2024-08-31,81
2024-09-01,66
2024-09-02,80
2024-09-03,80
2024-09-04,77
2024-09-05,76
2024-09-06,76
2024-09-07,73
2024-09-08,75
2024-09-09,74
2024-09-10,79
2024-09-11,77
2024-09-12,87
2024-09-13,88
2024-09-14,83
2024-09-15,70
2024-09-16,66
2024-09-17,61
2024-09-18,79
2024-09-19,83
2024-09-20,88
2024-09-21,88
2024-09-22,78
2024-09-23,85
2024-09-24,88
2024-09-25,85
2024-09-26,100
