Category: All categories

Day,TATA: (Worldwide)
2024-06-26,69
2024-06-27,73
2024-06-28,71
2024-06-29,62
2024-06-30,55
2024-07-01,69
2024-07-02,69
2024-07-03,71
2024-07-04,77
2024-07-05,73
2024-07-06,65
2024-07-07,62
2024-07-08,77
2024-07-09,79
2024-07-10,76
2024-07-11,79
2024-07-12,84
2024-07-13,75
2024-07-14,65
2024-07-15,86
2024-07-16,82
2024-07-17,76
2024-07-18,91
2024-07-19,100
2024-07-20,87
2024-07-21,74
2024-07-22,87
2024-07-23,89
2024-07-24,84
2024-07-25,89
2024-07-26,93
2024-07-27,76
2024-07-28,71
2024-07-29,91
2024-07-30,91
2024-07-31,95
2024-08-01,91
2024-08-02,92
2024-08-03,74
2024-08-04,70
2024-08-05,90
2024-08-06,91
2024-08-07,97
2024-08-08,93
2024-08-09,100
2024-08-10,77
2024-08-11,79
2024-08-12,92
2024-08-13,88
2024-08-14,85
2024-08-15,65
2024-08-16,84
2024-08-17,66
2024-08-18,66
2024-08-19,74
2024-08-20,83
2024-08-21,80
2024-08-22,83
2024-08-23,79
2024-08-24,72
2024-08-25,67
2024-08-26,79
2024-08-27,82
2024-08-28,84
2024-08-29,83
2024-08-30,83
2024-08-31,68
2024-09-01,64
2024-09-02,91
2024-09-03,83
2024-09-04,80
2024-09-05,76
2024-09-06,77
2024-09-07,73
2024-09-08,71
2024-09-09,81
2024-09-10,84
2024-09-11,97
2024-09-12,93
2024-09-13,80
2024-09-14,73
2024-09-15,68
2024-09-16,77
2024-09-17,83
2024-09-18,81
2024-09-19,81
2024-09-20,84
2024-09-21,72
2024-09-22,66
2024-09-23,83
2024-09-24,89
2024-09-25,83
2024-09-26,91
