Category: All categories

Day,Tata Capital: (Worldwide)
2024-06-26,70
2024-06-27,66
2024-06-28,73
2024-06-29,68
2024-06-30,40
2024-07-01,61
2024-07-02,74
2024-07-03,78
2024-07-04,82
2024-07-05,84
2024-07-06,61
2024-07-07,41
2024-07-08,77
2024-07-09,76
2024-07-10,71
2024-07-11,71
2024-07-12,73
2024-07-13,65
2024-07-14,36
2024-07-15,76
2024-07-16,75
2024-07-17,69
2024-07-18,83
2024-07-19,97
2024-07-20,69
2024-07-21,42
2024-07-22,84
2024-07-23,84
2024-07-24,73
2024-07-25,75
2024-07-26,74
2024-07-27,59
2024-07-28,45
2024-07-29,82
2024-07-30,79
2024-07-31,78
2024-08-01,75
2024-08-02,73
2024-08-03,69
2024-08-04,51
2024-08-05,95
2024-08-06,87
2024-08-07,89
2024-08-08,85
2024-08-09,85
2024-08-10,55
2024-08-11,43
2024-08-12,83
2024-08-13,79
2024-08-14,74
2024-08-15,42
2024-08-16,77
2024-08-17,70
2024-08-18,47
2024-08-19,70
2024-08-20,92
2024-08-21,86
2024-08-22,94
2024-08-23,86
2024-08-24,70
2024-08-25,51
2024-08-26,85
2024-08-27,90
2024-08-28,91
2024-08-29,84
2024-08-30,90
2024-08-31,83
2024-09-01,48
2024-09-02,88
2024-09-03,97
2024-09-04,92
2024-09-05,98
2024-09-06,90
2024-09-07,66
2024-09-08,44
2024-09-09,97
2024-09-10,92
2024-09-11,90
2024-09-12,88
2024-09-13,86
2024-09-14,79
2024-09-15,50
2024-09-16,82
2024-09-17,81
2024-09-18,88
2024-09-19,91
2024-09-20,86
2024-09-21,74
2024-09-22,45
2024-09-23,88
2024-09-24,94
2024-09-25,86
2024-09-26,100
