Category: All categories

Day,Tata Group: (Worldwide)
2024-06-26,59
2024-06-27,55
2024-06-28,53
2024-06-29,49
2024-06-30,47
2024-07-01,59
2024-07-02,54
2024-07-03,50
2024-07-04,59
2024-07-05,61
2024-07-06,44
2024-07-07,52
2024-07-08,70
2024-07-09,69
2024-07-10,64
2024-07-11,60
2024-07-12,74
2024-07-13,98
2024-07-14,100
2024-07-15,99
2024-07-16,95
2024-07-17,90
2024-07-18,86
2024-07-19,85
2024-07-20,80
2024-07-21,72
2024-07-22,85
2024-07-23,78
2024-07-24,92
2024-07-25,74
2024-07-26,67
2024-07-27,78
2024-07-28,69
2024-07-29,82
2024-07-30,64
2024-07-31,65
2024-08-01,69
2024-08-02,69
2024-08-03,64
2024-08-04,61
2024-08-05,60
2024-08-06,64
2024-08-07,62
2024-08-08,57
2024-08-09,71
2024-08-10,66
2024-08-11,64
2024-08-12,71
2024-08-13,61
2024-08-14,51
2024-08-15,65
2024-08-16,56
2024-08-17,47
2024-08-18,41
2024-08-19,57
2024-08-20,68
2024-08-21,65
2024-08-22,65
2024-08-23,57
2024-08-24,54
2024-08-25,51
2024-08-26,52
2024-08-27,68
2024-08-28,64
2024-08-29,74
2024-08-30,70
2024-08-31,69
2024-09-01,60
2024-09-02,69
2024-09-03,61
2024-09-04,53
2024-09-05,54
2024-09-06,55
2024-09-07,58
2024-09-08,53
2024-09-09,65
2024-09-10,53
2024-09-11,67
2024-09-12,59
2024-09-13,54
2024-09-14,51
2024-09-15,46
2024-09-16,58
2024-09-17,59
2024-09-18,58
2024-09-19,61
2024-09-20,57
2024-09-21,48
2024-09-22,45
2024-09-23,57
2024-09-24,63
2024-09-25,56
2024-09-26,68
