Category: All categories

Day,The Coca-Cola Company: (Worldwide)
2024-06-26,94
2024-06-27,0
2024-06-28,43
2024-06-29,0
2024-06-30,50
2024-07-01,52
2024-07-02,48
2024-07-03,75
2024-07-04,51
2024-07-05,68
2024-07-06,0
2024-07-07,50
2024-07-08,69
2024-07-09,41
2024-07-10,53
2024-07-11,56
2024-07-12,56
2024-07-13,45
2024-07-14,46
2024-07-15,61
2024-07-16,0
2024-07-17,0
2024-07-18,42
2024-07-19,50
2024-07-20,57
2024-07-21,0
2024-07-22,0
2024-07-23,69
2024-07-24,65
2024-07-25,48
2024-07-26,66
2024-07-27,0
2024-07-28,0
2024-07-29,51
2024-07-30,0
2024-07-31,90
2024-08-01,45
2024-08-02,100
2024-08-03,0
2024-08-04,63
2024-08-05,53
2024-08-06,84
2024-08-07,94
2024-08-08,67
2024-08-09,48
2024-08-10,0
2024-08-11,0
2024-08-12,81
2024-08-13,66
2024-08-14,61
2024-08-15,78
2024-08-16,67
2024-08-17,51
2024-08-18,72
2024-08-19,88
2024-08-20,97
2024-08-21,48
2024-08-22,75
2024-08-23,41
2024-08-24,53
2024-08-25,44
2024-08-26,80
2024-08-27,84
2024-08-28,76
2024-08-29,40
2024-08-30,60
2024-08-31,87
2024-09-01,61
2024-09-02,44
2024-09-03,87
2024-09-04,87
2024-09-05,80
2024-09-06,58
2024-09-07,54
2024-09-08,73
2024-09-09,47
2024-09-10,43
2024-09-11,78
2024-09-12,73
2024-09-13,67
2024-09-14,46
2024-09-15,61
2024-09-16,77
2024-09-17,67
2024-09-18,69
2024-09-19,75
2024-09-20,68
2024-09-21,53
2024-09-22,57
2024-09-23,70
2024-09-24,69
2024-09-25,66
2024-09-26,61
