Category: All categories

Day,UIDAI: (Worldwide)
2024-06-26,45
2024-06-27,46
2024-06-28,47
2024-06-29,57
2024-06-30,46
2024-07-01,56
2024-07-02,56
2024-07-03,52
2024-07-04,54
2024-07-05,54
2024-07-06,55
2024-07-07,39
2024-07-08,53
2024-07-09,55
2024-07-10,51
2024-07-11,74
2024-07-12,75
2024-07-13,56
2024-07-14,40
2024-07-15,57
2024-07-16,56
2024-07-17,44
2024-07-18,58
2024-07-19,58
2024-07-20,60
2024-07-21,40
2024-07-22,55
2024-07-23,55
2024-07-24,57
2024-07-25,60
2024-07-26,59
2024-07-27,55
2024-07-28,43
2024-07-29,60
2024-07-30,64
2024-07-31,61
2024-08-01,60
2024-08-02,55
2024-08-03,68
2024-08-04,47
2024-08-05,57
2024-08-06,62
2024-08-07,66
2024-08-08,65
2024-08-09,58
2024-08-10,59
2024-08-11,44
2024-08-12,65
2024-08-13,64
2024-08-14,63
2024-08-15,57
2024-08-16,92
2024-08-17,100
2024-08-18,55
2024-08-19,52
2024-08-20,74
2024-08-21,73
2024-08-22,80
2024-08-23,66
2024-08-24,63
2024-08-25,44
2024-08-26,52
2024-08-27,66
2024-08-28,67
2024-08-29,69
2024-08-30,78
2024-08-31,80
2024-09-01,51
2024-09-02,83
2024-09-03,78
2024-09-04,73
2024-09-05,72
2024-09-06,68
2024-09-07,58
2024-09-08,54
2024-09-09,69
2024-09-10,74
2024-09-11,70
2024-09-12,72
2024-09-13,73
2024-09-14,72
2024-09-15,53
2024-09-16,52
2024-09-17,58
2024-09-18,70
2024-09-19,69
2024-09-20,73
2024-09-21,70
2024-09-22,47
2024-09-23,66
2024-09-24,65
2024-09-25,66
2024-09-26,81
